Constituency,Seats,Candidates
Carlow-Kilkenny,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cavan-Monaghan,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Claire,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cork East,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cork North-Central,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cork North-West,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cork South-Central,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Cork South-West,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Donegal,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays"
Dublin Bay North,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin Bay South,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin Central,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Fingal County Council,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin Mid-West,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin North-West,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin Rathdown,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin South-Central,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin South-West,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dublin West,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Dún Laoghaire,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Galway East,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Galway West,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Kerry,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Kildare North,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Kildare South,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
